images,movie_time,rating,date,url,item_url,des,title,server,main_url,location,inq,spider,comment,project
,1957,9.6,2017-03-05 14:29:37.268057,https://movie.douban.com/subject/1296141/,,导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / ... 1957 / 美国 / 剧情 犯罪 悬疑  ,控方证人 /Witness for the Prosecution,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,比利·怀德满分作品。,doubantop250,67078,apple
,1994,8.7,2017-03-05 14:29:37.273215,https://movie.douban.com/subject/1291832/,,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra... 1994 / 美国 / 剧情 喜剧 犯罪  ,低俗小说 /Pulp Fiction,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,故事的高级讲法。,doubantop250,304296,apple
,2008,8.8,2017-03-05 14:29:37.277710,https://movie.douban.com/subject/2149806/,,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ... 2008 / 日本 / 剧情  ,入殓师 /おくりびと,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,doubantop250,298797,apple
,1991,8.7,2017-03-05 14:29:37.283655,https://movie.douban.com/subject/1293544/,,导演: Jonathan Demme   主演: Jodie Foster / Anthony Hopkins / Scott Glenn 1991 / 美国 / 剧情 犯罪 惊悚  ,沉默的羔羊 /The Silence of the Lambs,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,安东尼·霍普金斯的顶级表演。,doubantop250,322586,apple
,2008,8.7,2017-03-05 14:29:37.288010,https://movie.douban.com/subject/1485260/,,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ... 2008 / 美国 / 剧情 爱情 奇幻  ,本杰明·巴顿奇事 /The Curious Case of Benjamin Button,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,在时间之河里感受溺水之苦。,doubantop250,365747,apple
,2004,8.7,2017-03-05 14:29:37.291268,https://movie.douban.com/subject/1292343/,,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主... 2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚  ,蝴蝶效应 /The Butterfly Effect,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,人的命运被自己瞬间的抉择改变。,doubantop250,353531,apple
,1999,8.8,2017-03-05 14:29:37.295884,https://movie.douban.com/subject/1291843/,,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主... 1999 / 美国 澳大利亚 / 动作 科幻  ,黑客帝国 /The Matrix,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,视觉革命。,doubantop250,256225,apple
,1998,8.8,2017-03-05 14:29:37.301038,https://movie.douban.com/subject/1292849/,,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks... 1998 / 美国 / 剧情 历史 战争  ,拯救大兵瑞恩 /Saving Private Ryan,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,美利坚精神输出大片No1.,doubantop250,214799,apple
,2009,8.9,2017-03-05 14:29:37.306320,https://movie.douban.com/subject/3072124/,,导演: Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利普·塞默·霍... 2009 / 澳大利亚 / 剧情 爱情 动画  ,玛丽和马克思 /Mary and Max,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,你是我最好的朋友，你是我唯一的朋友 。,doubantop250,220272,apple
,2000,8.7,2017-03-05 14:29:37.309763,https://movie.douban.com/subject/1292402/,,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ... 2000 / 意大利 美国 / 剧情 战争 情色  ,西西里的美丽传说 /Malèna,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,美丽无罪。,doubantop250,312108,apple
,2013,9.1,2017-03-05 14:29:37.314228,https://movie.douban.com/subject/21937452/,,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ... 2013 / 韩国 / 剧情 家庭  ,素媛 /소원,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,doubantop250,151630,apple
,1997,8.7,2017-03-05 14:29:37.317554,https://movie.douban.com/subject/1292656/,,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·... 1997 / 美国 / 剧情  ,心灵捕手 /Good Will Hunting,rMBP.lan,https://movie.douban.com/top250?start=50&filter=,,人生中应该拥有这样的一段豁然开朗。,doubantop250,244177,apple
,1997,8.8,2017-03-05 14:29:37.571638,https://movie.douban.com/subject/1297359/,,导演: 宫崎骏   主演: 松田洋治 / 石田百合子 / 田中裕子 1997 / 日本 / 动画 冒险 奇幻  ,幽灵公主 /もののけ姫,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,人与自然的战争史诗。,doubantop250,215366,apple
,1999,8.8,2017-03-05 14:29:37.575194,https://movie.douban.com/subject/1297630/,,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi... 1999 / 美国 / 剧情 悬疑 恐怖  ,第六感 /The Sixth Sense,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,深入内心的恐怖，出人意料的结局。,doubantop250,213085,apple
,1994,8.7,2017-03-05 14:29:37.578735,https://movie.douban.com/subject/1291875/,,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao 1994 / 中国大陆 香港 / 剧情  ,阳光灿烂的日子,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,一场华丽的意淫。,doubantop250,247435,apple
,2010,8.7,2017-03-05 14:29:37.582151,https://movie.douban.com/subject/3742360/,,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F... 2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部  ,让子弹飞,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,你给我翻译翻译，神马叫做TMD的惊喜。,doubantop250,580499,apple
,2003,8.7,2017-03-05 14:29:37.587745,https://movie.douban.com/subject/1291545/,,导演: Tim Burton   主演: Ewan McGregor / Albert Finney / Billy Crudup 2003 / 美国 / 剧情 家庭 奇幻 冒险  ,大鱼 /Big Fish,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,doubantop250,230150,apple
,1993,8.7,2017-03-05 14:29:37.592087,https://movie.douban.com/subject/1316510/,,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri... 1993 / 香港 / 喜剧 古装  ,射雕英雄传之东成西就 /射鵰英雄傳之東成西就,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,百看不厌。 ,doubantop250,251688,apple
,1997,8.7,2017-03-05 14:29:37.596405,https://movie.douban.com/subject/1292679/,,导演: 王家卫   主演: 张国荣 / 梁朝伟 / 张震 1997 / 香港 日本 韩国 / 剧情 爱情 同性  ,春光乍泄 /春光乍洩,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,爱情纠缠，男女一致。,doubantop250,217107,apple
,"1961,1964,1978,2004",9.2,2017-03-05 14:29:37.599981,https://movie.douban.com/subject/1418019/,,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /... 1961(上集) / 1964(下集) / 1978(全本) / 2004(纪念版) / 中国大陆 / 动画 奇幻  ,大闹天宫,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,经典之作，历久弥新。,doubantop250,87166,apple
,2011,8.8,2017-03-05 14:29:37.603279,https://movie.douban.com/subject/4917726/,,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy... 2011 / 韩国 / 剧情 喜剧  ,阳光姐妹淘 /써니,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,doubantop250,245365,apple
,1994,8.6,2017-03-05 14:29:37.606660,https://movie.douban.com/subject/1291999/,,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K... 1994 / 香港 / 剧情 爱情  ,重庆森林 /重慶森林,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,寂寞没有期限。,doubantop250,293450,apple
,2002,8.9,2017-03-05 14:29:37.610716,https://movie.douban.com/subject/1292208/,,导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea... 2002 / 巴西 法国 / 犯罪 剧情  ,上帝之城 /Cidade de Deus,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,被上帝抛弃了的上帝之城。,doubantop250,146450,apple
,2010,8.6,2017-03-05 14:29:37.615564,https://movie.douban.com/subject/2334904/,,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ... 2010 / 美国 / 剧情 悬疑 惊悚  ,禁闭岛 /Shutter Island,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,昔日翩翩少年，今日大腹便便。,doubantop250,324975,apple
,1996,8.7,2017-03-05 14:29:37.620701,https://movie.douban.com/subject/1305164/,,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ... 1996 / 香港 / 剧情 爱情  ,甜蜜蜜,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,逢只要一瞬间，等待却像是一辈子。,doubantop250,211379,apple
,2003,8.6,2017-03-05 14:29:37.624293,https://movie.douban.com/subject/1297192/,,导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet 2003 / 美国 / 剧情 悬疑 惊悚  ,致命ID /Identity,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,最不可能的那个人永远是最可能的。,doubantop250,285677,apple
,2010,8.6,2017-03-05 14:29:37.628072,https://movie.douban.com/subject/4268598/,,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ... 2010 / 日本 / 剧情 惊悚  ,告白,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,没有一人完全善，也没有一人完全恶。,doubantop250,309930,apple
,2000,8.9,2017-03-05 14:29:37.632331,https://movie.douban.com/subject/1292434/,,导演: 杨德昌   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elaine Jin 2000 / 台湾 日本 / 剧情 爱情 家庭  ,一一,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,我们都曾经是一一。,doubantop250,139222,apple
,2003,8.6,2017-03-05 14:29:37.637230,https://movie.douban.com/subject/1298070/,,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ... 2003 / 美国 / 动作 冒险 奇幻  ,加勒比海盗 /Pirates of the Caribbean: The Curse of the Black Pearl,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,约翰尼·德普的独角戏。,doubantop250,304416,apple
,1995,8.7,2017-03-05 14:29:37.641417,https://movie.douban.com/subject/1296339/,,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ... 1995 / 美国 奥地利 瑞士 / 剧情 爱情  ,爱在黎明破晓前 /Before Sunrise,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,缘分是个连绵词，最美不过一瞬。,doubantop250,197303,apple
,1988,8.7,2017-03-05 14:29:37.645457,https://movie.douban.com/subject/1293318/,,导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子 1988 / 日本 / 动画 剧情 战争  ,萤火虫之墓 /火垂るの墓,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,幸福是生生不息，却难以触及的远。 ,doubantop250,187367,apple
,2009,8.6,2017-03-05 14:29:37.649344,https://movie.douban.com/subject/1652587/,,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ... 2009 / 美国 英国 / 动作 冒险 奇幻 科幻  ,阿凡达 /Avatar,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,绝对意义上的美轮美奂。,doubantop250,490589,apple
,1984,8.8,2017-03-05 14:29:37.653118,https://movie.douban.com/subject/1291585/,,导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 京田尚子 H... 1984 / 日本 / 科幻 动画 奇幻 冒险  ,风之谷 /風の谷のナウシカ,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,动画片的圣经。,doubantop250,160912,apple
,2014,8.7,2017-03-05 14:29:37.658165,https://movie.douban.com/subject/11525673/,,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ... 2014 / 美国 德国 英国 / 剧情 喜剧  ,布达佩斯大饭店 /The Grand Budapest Hotel,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,小清新的故事里注入了大历史的情怀。,doubantop250,273924,apple
,2012,9.0,2017-03-05 14:29:37.662619,https://movie.douban.com/subject/6985810/,,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik... 2012 / 丹麦 瑞典 / 剧情  ,狩猎 /Jagten,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,人言可畏。,doubantop250,106614,apple
,2005,8.6,2017-03-05 14:29:37.666958,https://movie.douban.com/subject/1418834/,,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake... 2005 / 美国 加拿大 / 剧情 爱情 同性 家庭  ,断背山 /Brokeback Mountain,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,每个人心中都有一座断背山。,doubantop250,291514,apple
,2004,8.7,2017-03-05 14:29:37.670397,https://movie.douban.com/subject/1291990/,,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ... 2004 / 美国 / 剧情 爱情  ,爱在日落黄昏时 /Before Sunset,rMBP.lan,https://movie.douban.com/top250?start=75&filter=,,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,doubantop250,181170,apple
,1995,8.8,2017-03-05 14:29:37.926644,https://movie.douban.com/subject/1297052/,,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K... 1995 / 日本 / 剧情 爱情 动画 音乐  ,侧耳倾听 /耳をすませば,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,少女情怀总是诗。,doubantop250,150957,apple
,2002,8.7,2017-03-05 14:29:37.930522,https://movie.douban.com/subject/1305487/,,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L... 2002 / 美国 加拿大 / 传记 犯罪 剧情  ,猫鼠游戏 /Catch Me If You Can,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,骗子大师和执著警探的你追我跑故事。 ,doubantop250,194591,apple
,1936,9.2,2017-03-05 14:29:37.934042,https://movie.douban.com/subject/1294371/,,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ... 1936 / 美国 / 喜剧 剧情 爱情  ,摩登时代 /Modern Times,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,大时代中的人生，小人物的悲喜。,doubantop250,76413,apple
,2010,8.7,2017-03-05 14:29:37.937627,https://movie.douban.com/subject/2353023/,,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:... 2010 / 美国 / 喜剧 动画 奇幻 冒险 家庭  ,驯龙高手 /How to Train Your Dragon,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,和谐的生活离不开摸头与被摸头。,doubantop250,260863,apple
,2009,9.0,2017-03-05 14:29:37.941090,https://movie.douban.com/subject/3443389/,,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:... 2009 / 法国 瑞士 西班牙 美国 阿联酋 / 纪录片  ,海洋 /Océans,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,大海啊，不全是水。,doubantop250,93384,apple
,1987,8.8,2017-03-05 14:29:37.945017,https://movie.douban.com/subject/1293172/,,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈... 1987 / 意大利 中国大陆 英国 法国 / 剧情 传记 历史  ,末代皇帝 /The Last Emperor,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,doubantop250,141081,apple
,2011,8.7,2017-03-05 14:29:37.949469,https://movie.douban.com/subject/5322596/,,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 克里... 2011 / 美国 / 剧情  ,超脱 /Detachment,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,穷尽一生，我们要学会的，不过是彼此拥抱。,doubantop250,154782,apple
,2001,8.6,2017-03-05 14:29:37.955712,https://movie.douban.com/subject/1295038/,,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint 2001 / 美国 英国 / 奇幻 冒险  ,哈利·波特与魔法石 /Harry Potter and the Sorcerer's Stone,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,童话世界的开端。,doubantop250,221252,apple
,2004,8.6,2017-03-05 14:29:37.964290,https://movie.douban.com/subject/1292274/,,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks... 2004 / 美国 / 喜剧 剧情 爱情  ,幸福终点站 /The Terminal,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,有时候幸福需要等一等。 ,doubantop250,209108,apple
,1994,8.8,2017-03-05 14:29:37.969011,https://movie.douban.com/subject/1295865/,,导演: 爱德华·兹威克 Edward Zwick   主演: 安东尼·霍普金斯 Anthony Hopki... 1994 / 美国 / 剧情 爱情 西部 家庭  ,燃情岁月 /Legends of the Fall,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,传奇，不是每个人都可以拥有。,doubantop250,139709,apple
,2007,8.7,2017-03-05 14:29:37.973467,https://movie.douban.com/subject/1578507/,,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ... 2007 / 美国 德国 / 动作 悬疑 冒险  ,谍影重重3 /The Bourne Ultimatum,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,像吃了苏打饼一样干脆的电影。,doubantop250,165020,apple
,2008,8.8,2017-03-05 14:29:37.976822,https://movie.douban.com/subject/3008247/,,导演: 马克·赫门 Mark Herman   主演: 阿沙·巴特菲尔德 Asa Butterfield / ... 2008 / 英国 美国 / 剧情 战争  ,穿条纹睡衣的男孩 /The Boy in the Striped Pajamas,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,doubantop250,121508,apple
,2004,8.6,2017-03-05 14:29:37.980954,https://movie.douban.com/subject/1417598/,,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾... 2004 / 美国 澳大利亚 / 犯罪 悬疑 惊悚  ,电锯惊魂 /Saw,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,真相就在眼前。,doubantop250,181224,apple
,2010,8.5,2017-03-05 14:29:37.985565,https://movie.douban.com/subject/3287562/,,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ... 2010 / 美国 / 儿童 喜剧 动画  ,神偷奶爸 /Despicable Me,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,Mr. I Don't Care其实也有Care的时候。,doubantop250,337227,apple
,1999,8.7,2017-03-05 14:29:37.990120,https://movie.douban.com/subject/1293359/,,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus... 1999 / 日本 / 剧情 喜剧  ,菊次郎的夏天 /菊次郎の夏,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,doubantop250,159331,apple
,2003,8.5,2017-03-05 14:29:37.995757,https://movie.douban.com/subject/1292401/,,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林... 2003 / 英国 美国 法国 / 喜剧 剧情 爱情  ,真爱至上 /Love Actually,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,爱，是个动词。,doubantop250,285644,apple
,2010,8.7,2017-03-05 14:29:38.000631,https://movie.douban.com/subject/4202302/,,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木... 2010 / 日本 / 动画 奇幻 冒险  ,借东西的小人阿莉埃蒂 /借りぐらしのアリエッティ,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,曾经的那段美好会沉淀为一辈子的记忆。,doubantop250,196960,apple
,1966,8.9,2017-03-05 14:29:38.004169,https://movie.douban.com/subject/1296909/,,导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès... 1966 / 法国 英国 / 喜剧 战争  ,虎口脱险 /La grande vadrouille,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,永远看不腻的喜剧。,doubantop250,98709,apple
,2010,8.6,2017-03-05 14:29:38.007684,https://movie.douban.com/subject/3792799/,,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍... 2010 / 香港 中国大陆 / 剧情 家庭  ,岁月神偷 /歲月神偷,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,岁月流逝，来日可追。,doubantop250,282851,apple
,1988,8.6,2017-03-05 14:29:38.011465,https://movie.douban.com/subject/1291870/,,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ... 1988 / 美国 / 剧情  ,雨人 /Rain Man,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,doubantop250,193518,apple
,1987,8.6,2017-03-05 14:29:38.016919,https://movie.douban.com/subject/1297447/,,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W... 1987 / 香港 / 剧情 爱情 武侠 古装  ,倩女幽魂,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,两张绝世的脸。 ,doubantop250,221032,apple
,2008,8.5,2017-03-05 14:29:38.022866,https://movie.douban.com/subject/2209573/,,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫... 2008 / 英国 美国 / 剧情 爱情  ,贫民窟的百万富翁 /Slumdog Millionaire,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,doubantop250,369755,apple
,1954,9.1,2017-03-05 14:29:38.026088,https://movie.douban.com/subject/1295399/,,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ... 1954 / 日本 / 动作 冒险 剧情  ,七武士 /七人の侍,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,时代悲歌。,doubantop250,67763,apple
,2014,8.7,2017-03-05 14:29:38.029462,https://movie.douban.com/subject/21318488/,,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙... 2014 / 美国 / 剧情 犯罪 悬疑 惊悚,消失的爱人 /Gone Girl,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,,doubantop250,311309,apple
,2000,8.5,2017-03-05 14:29:38.033749,https://movie.douban.com/subject/1304447/,,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /... 2000 / 美国 / 犯罪 剧情 悬疑 惊悚  ,记忆碎片 /Memento,rMBP.lan,https://movie.douban.com/top250?start=100&filter=,,一个针管引发的血案。,doubantop250,252127,apple
